headerdatestamp|headeridentifier|headersetSpec|metadata.mods.genre#text|metadata.mods.genre@authority|metadata.mods.location.url.0#text|metadata.mods.location.url.0@access|metadata.mods.location.url.0@usage|metadata.mods.location.url.1#text|metadata.mods.location.url.1@access|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@type|metadata.mods.namenamePart|metadata.mods.originInfo.0publisher|metadata.mods.originInfo.1dateOther|metadata.mods.subject.0topic|metadata.mods.subject.1topic|metadata.mods.subjecttopic|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsaccessCondition|metadata.modsnote|metadata.modstypeOfResource
2019-05-22T02:01:56Z|yrb_35871|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A35871|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A35871/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1971|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1971|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_10799|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A10799|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A10799/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1901|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1901|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_25306|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A25306|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A25306/datastream/TN/view|preview|creator|text|University of Tennessee,  (Knoxville campus)|The students of the University of Tennessee, 1897-|1944|University of Tennessee  (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1944|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_38967|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A38967|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A38967/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1979|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1979|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_30339|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A30339|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A30339/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville Campus)|The students of the University of Tennessee, 1897-|1957|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1957|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_21289|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A21289|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A21289/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1933|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1933|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries"|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_23806|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A23806|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A23806/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1940|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville --1897.|    |The Volunteer.1940|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries"|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_15806|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A15806|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A15806/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1919|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1919|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_14388|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A14388|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A14388/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|1914|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |The Volunteer.1914|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
2019-05-22T02:01:56Z|yrb_47927|yrb|text|dct|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A47927|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/yrb%3A47927/datastream/TN/view|preview|creator|text|University of Tennessee (Knoxville campus)|The students of the University of Tennessee, 1897-|2007|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1897.|    |Evolve: The Volunteer Annual of the University of Tennessee.2007|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"This compilation is copyrighted by the University of Tennessee. Images, text, or other content downloaded from the collection may be freely used for non-profit educational and research purposes, or any other use falling within the purview of ""Fair Use."" For any other use, contact the University of Tennessee Libraries."|Yearbook of the University of Tennessee, Knoxville.|text
